sentence,score,ratio
sentence,0.0,0.0
오늘 날씨가 정말 좋다.,2.0,2.86
갑자기 비가 와서 짜증났다.,0.0,0.0
맛있는 음식을 먹어서 행복했다.,2.0,2.86
지갑을 잃어버려서 너무 속상했다.,0.0,0.0
친구와 카페에서 즐거운 시간을 보냈다.,3.6309297535714578,4.67
버스를 놓쳐서 지각했다.,0.9999999341043133,1.43
좋아하는 노래를 들으니 기분이 좋아졌다.,2.0,2.57
핸드폰을 떨어뜨려서 액정이 깨졌다.,0.0,0.0
강아지가 반겨줘서 하루가 행복했다.,0.6309297535714575,0.9
컴퓨터가 고장 나서 과제를 못 했다.,0.9999999341043133,1.18
햇살이 따뜻해서 산책하기 좋았다.,0.0,0.0
회의가 길어져서 피곤했다.,0.0,0.0
새로 산 옷이 마음에 들어서 기분이 좋았다.,0.0,0.0
택배가 잘못 와서 짜증났다.,-2.0,-2.86
시험을 잘 봐서 뿌듯했다.,1.000000153756567,1.43
인터넷이 끊겨서 불편했다.,0.0,0.0
조용한 카페에서 책 읽으며 힐링했다.,0.9999999341043133,1.18
지하철이 고장 나서 한참 기다렸다.,0.0,0.0
좋은 리뷰를 받아서 기뻤다.,2.0,2.86
서류를 잃어버려서 당황했다.,0.9999999341043133,1.43
오랜만에 친구를 만나서 즐거웠다.,1.0,1.43
전화 통화가 자꾸 끊겨서 화가 났다.,-2.0,-2.37
맛있는 점심을 먹고 기분이 좋아졌다.,2.0,2.57
옷에 커피를 쏟아서 당황했다.,0.9999999341043133,1.29
기다리던 책이 도착해서 설렜다.,1.0000000000000002,1.29
회의 도중 실수해서 부끄러웠다.,2.220446049250313e-16,0.0
산책하다가 예쁜 꽃을 발견해서 기분이 좋았다.,3.0,3.14
휴대폰 배터리가 빨리 닳아서 불편했다.,0.0,0.0
새로 산 신발이 편하고 예뻐서 만족스러웠다.,2.0,2.37
택시가 안 잡혀서 늦었다.,6.833625865176884e-08,0.0
친구 생일파티에서 즐거운 시간을 보냈다.,3.6309297535714578,4.3
감기에 걸려서 하루 종일 힘들었다.,-0.36907024642854247,-0.47
맛있는 디저트를 먹고 행복했다.,2.0,2.86
갑자기 비가 와서 옷이 다 젖었다.,0.0,0.0
좋아하는 드라마를 봐서 기뻤다.,2.0,2.86
회의가 너무 지루해서 졸렸다.,0.0,0.0
조용한 공간에서 혼자 쉬는 시간이 좋았다.,0.6309297535714575,0.75
지갑을 잃어버려서 하루 종일 우울했다.,0.6309297535714575,0.81
동생과 놀아서 기분이 좋았다.,0.0,0.0
지하철에서 밀려서 짜증 났다.,-2.0,-2.86
좋아하는 음식을 먹어서 행복했다.,2.0,2.86
회의 자료를 잃어버려서 당황했다.,0.9999999341043133,1.29
노을이 예뻐서 기분이 좋아졌다.,0.0,0.0
알람을 못 들어서 지각했다.,0.9999999341043133,1.29
친구가 도와줘서 일이 쉬워졌다.,1.0,1.66
