id	document	label
1	이 영화는 연기가 실망스러웠다. 몰입이 전혀 안 됐다.	0
2	최고의 영화야. 다시 봐도 아깝지 않을 것 같아 너무 재미있어 또 보고 싶다.	1
3	진짜 쓰레기 같은 영화네. 볼 가치가 전혀 없다.	1
4	이 영화는 기대 이하였다. 시간 낭비였다.	0
5	이 영화는 연출이 부족했다. 시간 낭비였다.	0
6	이 영화는 시간 가는 줄 몰랐다. 스토리가 매력적이다.	1
7	이 영화는 스토리가 매력적이다. 정말 감동적이다.	1
8	이 영화는 연출이 부족했다. 스토리가 허술했다.	0
9	이 영화는 정말 감동적이다. 연출이 훌륭했다.	1
10	이 영화는 스토리가 매력적이다. 다시 보고 싶다.	1
11	이 영화는 스토리가 허술했다. 기대 이하였다.	0
12	이 영화는 재미가 없었다. 추천하고 싶지 않다.	0
13	이 영화는 다시 보고 싶다. 감정 표현이 탁월했다.	1
14	이 영화는 시간 가는 줄 몰랐다. 연출이 훌륭했다.	1
15	이 영화는 다시 보고 싶다. 매우 잘 만든 영화다.	1
16	이 영화는 연출이 부족했다. 재미가 없었다.	0
17	이 영화는 연기가 실망스러웠다. 추천하고 싶지 않다.	0
18	이 영화는 다시 보고 싶다. 기대 이상이었다.	1
19	이 영화는 지루했다. 연출이 부족했다.	0
20	이 영화는 연기가 실망스러웠다. 추천하고 싶지 않다.	0
21	이 영화는 연기가 실망스러웠다. 스토리가 허술했다.	0
22	이 영화는 스토리가 허술했다. 결말이 아쉬웠다.	0
23	이 영화는 몰입감이 뛰어났다. 정말 감동적이다.	1
24	이 영화는 추천하고 싶지 않다. 연출이 부족했다.	0
25	이 영화는 시간 가는 줄 몰랐다. 기대 이상이었다.	1
26	이 영화는 기대 이상이었다. 스토리가 매력적이다.	1
27	이 영화는 감정 표현이 탁월했다. 스토리가 매력적이다.	1
28	이 영화는 감정 표현이 탁월했다. 스토리가 매력적이다.	1
29	이 영화는 기대 이상이었다. 정말 감동적이다.	1
30	이 영화는 시간 낭비였다. 몰입이 전혀 안 됐다.	0
31	이 영화는 몰입이 전혀 안 됐다. 기대 이하였다.	0
32	이 영화는 연기가 실망스러웠다. 시간 낭비였다.	0
33	이 영화는 추천하고 싶지 않다. 연출이 부족했다.	0
34	이 영화는 추천하고 싶지 않다. 시간 낭비였다.	0
35	이 영화는 스토리가 허술했다. 연기가 실망스러웠다.	0
36	이 영화는 몰입감이 뛰어났다. 연출이 훌륭했다.	1
37	이 영화는 추천하고 싶지 않다. 스토리가 허술했다.	0
38	이 영화는 기대 이하였다. 몰입이 전혀 안 됐다.	0
39	이 영화는 정말 감동적이다. 연출이 훌륭했다.	1
40	이 영화는 스토리가 허술했다. 추천하고 싶지 않다.	0
41	이 영화는 결말이 아쉬웠다. 지루했다.	0
42	이 영화는 기대 이상이었다. 정말 감동적이다.	1
43	이 영화는 연출이 부족했다. 기대 이하였다.	0
44	이 영화는 연출이 부족했다. 지루했다.	0
45	이 영화는 몰입감이 뛰어났다. 스토리가 매력적이다.	1
46	이 영화는 연출이 부족했다. 추천하고 싶지 않다.	0
47	이 영화는 몰입이 전혀 안 됐다. 지루했다.	0
48	이 영화는 다시 보고 싶다. 몰입감이 뛰어났다.	1
49	이 영화는 몰입이 전혀 안 됐다. 지루했다.	0
50	이 영화는 정말 감동적이다. 기대 이상이었다.	1
51	이 영화는 결말이 아쉬웠다. 시간 낭비였다.	0
52	이 영화는 시간 가는 줄 몰랐다. 연기가 인상적이다.	1
53	이 영화는 몰입감이 뛰어났다. 스토리가 매력적이다.	1
54	이 영화는 시간 가는 줄 몰랐다. 몰입감이 뛰어났다.	1
55	이 영화는 매우 잘 만든 영화다. 연출이 훌륭했다.	1
56	이 영화는 몰입이 전혀 안 됐다. 연출이 부족했다.	0
57	이 영화는 추천하고 싶지 않다. 몰입이 전혀 안 됐다.	0
58	이 영화는 결말이 아쉬웠다. 연기가 실망스러웠다.	0
59	이 영화는 추천하고 싶지 않다. 기대 이하였다.	0
60	이 영화는 기대 이하였다. 몰입이 전혀 안 됐다.	0
61	이 영화는 연출이 훌륭했다. 감정 표현이 탁월했다.	1
62	이 영화는 기대 이상이었다. 다시 보고 싶다.	1
63	이 영화는 연기가 인상적이다. 스토리가 매력적이다.	1
64	이 영화는 연출이 훌륭했다. 매우 잘 만든 영화다.	1
65	이 영화는 시간 낭비였다. 지루했다.	0
66	이 영화는 스토리가 허술했다. 추천하고 싶지 않다.	0
67	이 영화는 기대 이상이었다. 시간 가는 줄 몰랐다.	1
68	이 영화는 기대 이상이었다. 매우 잘 만든 영화다.	1
69	이 영화는 지루했다. 연출이 부족했다.	0
70	이 영화는 연기가 인상적이다. 기대 이상이었다.	1
71	이 영화는 시간 가는 줄 몰랐다. 기대 이상이었다.	1
72	이 영화는 다시 보고 싶다. 연기가 인상적이다.	1
73	이 영화는 시간 낭비였다. 스토리가 허술했다.	0
74	이 영화는 몰입감이 뛰어났다. 매우 잘 만든 영화다.	1
75	이 영화는 정말 감동적이다. 연기가 인상적이다.	1
76	이 영화는 스토리가 허술했다. 시간 낭비였다.	0
77	이 영화는 재미가 없었다. 스토리가 허술했다.	0
78	이 영화는 지루했다. 기대 이하였다.	0
79	이 영화는 스토리가 허술했다. 시간 낭비였다.	0
80	이 영화는 기대 이하였다. 몰입이 전혀 안 됐다.	0
81	이 영화는 몰입이 전혀 안 됐다. 스토리가 허술했다.	0
82	이 영화는 기대 이상이었다. 정말 감동적이다.	1
83	이 영화는 스토리가 허술했다. 추천하고 싶지 않다.	0
84	이 영화는 몰입감이 뛰어났다. 스토리가 매력적이다.	1
85	이 영화는 몰입이 전혀 안 됐다. 시간 낭비였다.	0
86	이 영화는 기대 이상이었다. 연출이 훌륭했다.	1
87	이 영화는 몰입감이 뛰어났다. 다시 보고 싶다.	1
88	이 영화는 몰입이 전혀 안 됐다. 지루했다.	0
89	이 영화는 다시 보고 싶다. 시간 가는 줄 몰랐다.	1
90	이 영화는 스토리가 허술했다. 결말이 아쉬웠다.	0
91	이 영화는 시간 가는 줄 몰랐다. 스토리가 매력적이다.	1
92	이 영화는 시간 낭비였다. 지루했다.	0
93	이 영화는 연출이 훌륭했다. 감정 표현이 탁월했다.	1
94	이 영화는 연기가 인상적이다. 연출이 훌륭했다.	1
95	이 영화는 지루했다. 스토리가 허술했다.	0
96	이 영화는 스토리가 매력적이다. 연출이 훌륭했다.	1
97	이 영화는 지루했다. 몰입이 전혀 안 됐다.	0
98	이 영화는 다시 보고 싶다. 연출이 훌륭했다.	1
99	이 영화는 몰입감이 뛰어났다. 연출이 훌륭했다.	1
100	이 영화는 몰입감이 뛰어났다. 시간 가는 줄 몰랐다.	1
